Tanggal,Periode,Lokasi,PH ,BOD (mg/L),COD (mg/L),TSS (mg/L),DO (mg/L),NO (mg/L),TOTAL PHOSPHATmg/L,FECAL COLIFORMMPN/100 mL,TOTAL COLIFORMMPN/100 mL,TDS (mg/L)
13 Juni 2023,1.0,DAS Petung Bagian Hulu Desa Kepuh Kec. Kejayan,8.4,1.0,19.0,5.0,5.0,0.494,0.217,200.0,1200.0,182.8
26 September 2023,2.0,DAS Petung Bagian Hulu Desa Kepuh Kec. Kejayan,8.02,0.84,18.0,8.0,6.0,0.882,0.0539,12.0,930.0,188.4
14 Juni 2023,1.0,DAS Rejoso Bagian Hilir Jembatan Tambak Patuguran-Jarangan,8.15,2.0,13.0,6.0,6.0,0.739,1.0,90.0,750.0,211.3
29 September 2023,2.0,DAS Rejoso Bagian Hilir Jembatan Tambak Patuguran-Jarangan,7.38,4.0,16.0,1.0,3.0,2.0,0.164,90.0,695.0,195.3
14 Juni 2023,1.0,DAS Laweyan Bagian Hulu Gang Makam Ds. Wates Tani,8.06,1.0,22.0,6.0,6.0,0.743,0.405,150.0,750.0,157.5
29 September 2023,2.0,DAS Laweyan Bagian Hulu Gang Makam Ds. Wates Tani,7.38,21.0,50.0,7.0,5.0,1.0,7.0,3750.0,11000.0,255.6
13 Juni 2023,1.0,DAS Welang Bagian Hulu Jembatan Ds. Cowek Purwodadi,8.7,2.0,15.0,1.0,7.0,0.579,0.424,200.0,950.0,206.5
26 September 2023,2.0,DAS Welang Bagian Hulu Jembatan Ds. Cowek Purwodadi,8.11,2.0,19.0,6.0,7.0,0.509,0.0784,24.0,2250.0,164.6
14 Juni 2023,1.0,DAS Laweyan Bagian Hilir Jembatan Ds. Penunggul,8.47,0.84,16.0,2.0,6.0,0.413,0.521,230.0,750.0,262.7
29 September 2023,2.0,DAS Laweyan Bagian Hilir Jembatan Ds. Penunggul,7.04,2.0,17.0,1.0,5.0,3.0,0.229,390.0,2100.0,291.6
14 Juni 2023,1.0,DAS Laweyan Bagian Tengah Jembatan Nguling Tongas,8.19,2.0,13.0,3.0,5.0,0.695,0.564,230.0,930.0,289.3
29 September 2023,2.0,DAS Laweyan Bagian Tengah Jembatan Nguling Tongas,7.69,2.0,17.0,1.0,6.0,3.0,0.136,16.0,1500.0,193.0
